provision,detail,status,support,Test Scenario,answer,reason,result
5.3-13,製造商應以對使用者易於理解、透明的方式公開定義的支援期限。,M,,消費者在購買設備時，希望能明確說明該期限的軟體更新支援。問題：1. 客戶如何獲知定義的支援期？ 用戶可以在哪裡找到這些資訊？,產品保固期間都根據當地國家法規要求訂定之，產品生命維護週期到時，會提前60天前公告在產品網頁上。,客戶可以在產品網頁上找到定義的支援期限資訊。,PASS
5.3-16,消費者物聯網設備的型號名稱應通過設備上的標籤或通過實體介面清晰可識別。,M,,問題：1. 使用者如何驗證設備型號名稱（透過設備上的標籤或透過實體介面）？,此產品的型號標籤上有相關的生產編號資訊。,根據測試情境中提到的控制措施5.3-16，消費者物聯網設備的型號名稱應通過設備上的標籤或通過實體介面清晰可識別。驗證測試者驗證此產品的型號標籤上有相關的生產編號資訊。,PASS
5.4-1,持久存儲中的敏感安全參數應由設備安全的存儲。,M,,安全、可信任的儲存機制可用於保護敏感的安全參數。注意：此規定適用於持久性儲存（在裝置電源關閉後保留資料的任何資料儲存裝置），但製造商也可以對記憶體中的敏感安全參數實施類似的方法。問題：當設備有持久性儲存時：1. 設備如何確保敏感安全參數安全儲存？,所有關鍵機敏資訊都以AES 128 加密演算法處理存儲在機器的flash中。,設備確保敏感安全參數安全儲存的方法可能包括使用安全、可信任的儲存機制來保護敏感安全參數，並且遵循相關的標準和規範要求。,PASS
5.4-3,關鍵安全參數不得硬編碼於使用設備軟體原始碼中。,M,,設備和應用程式的逆向工程可以輕鬆發現憑證，例如軟體中硬編碼的使用者名稱和密碼。注意：此類憑證通常可以在原始程式碼中找到，這是眾所周知的不良做法。注意：也用於模糊或加密此硬編碼訊息的簡單混淆方法可能會被輕易破壞。這些憑證還可以是：- 允許在遠端服務中使用安全敏感功能的 API 金鑰，或者- 用於裝置通訊協定安全的私鑰。問題：1. 是否使用了軟體原始碼中硬編碼的關鍵安全參數？,D-Link 產品都會經過縝密的源碼安全檢查掃描，以確保沒有相關的 Hard-coded critical security parameters 在程式中,根據CNS16190、TS103701和answer所生成的測試情境，逆向工程可以輕鬆發現憑證，例如軟體中硬編碼的使用者名稱和密碼，這是不良做法，可能導致安全風險。,FAIL
5.4-4,用於軟體更新的完整性和真實性檢查，以及保護設備軟體中相關服務的通訊的任何關鍵安全參數應為每個設備獨有，並且應具有降低對設備類別進行自動攻擊風險的機制。,M,,為設備配置獨特的關鍵安全參數有助於保護軟體更新的完整性和真實性以及設備與相關服務的通訊。如果使用全球關鍵安全參數，其洩漏可能會導致對其他物聯網設備的大規模攻擊，例如建立殭屍網路。範例：在同一裝置類別的每個裝置上部署不同的對稱金鑰，用於產生和驗證軟體更新的訊息認證碼。範例：設備使用製造商的公鑰來驗證軟體更新。 這不是關鍵的安全參數，並且不需要每個設備都是唯一的。問題：對於設備中用於以下用途的任何關鍵安全參數：- 軟體更新的完整性和真實性檢查；- 保護與設備軟體中相關服務的通訊：1. 這些關鍵安全參數是：A) 每個設備都是唯一的？B) 採用可降低針對各類設備的自動攻擊風險的機制進行生產？,"D-Link Cloud 管理通訊使用每個設備唯一的設備證書，在設定過程中進行配置。
管理和設定通道始終透過 TLS v1.2 或更新的連線進行保護，chiper 套件符合 FIPS 14--3。
伺服器證書還可以透過設備的嵌入式證書頒發機構文件進行驗證。",根據CNS16190、TS103701和answer所生成的測試情境，驗證D-Link Cloud管理通訊使用每個設備唯一的設備證書以及配置獨特的關鍵安全參數，有助於保護軟體更新的完整性和真實性以及設備與相關服務的通訊。,PASS
5.5-1,消費者物聯網設備應使用最佳實踐加密技術進行安全通訊。,M,,安全控制的適當性和最佳實踐加密的使用取決於許多因素，包括使用情境。注意：由於安全性不斷發展，很難提供有關密碼學或其他安全措施的規範性建議，而不會面臨此類建議很快就會過時的風險。問題：1. 消費者物聯網設備使用什麼最佳實踐加密技術來安全通訊？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,D-Link網站的通訊都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher符合FIPS 14--3的安全強度模組進行，並且隨時注意最新安全通報並更新加密模組，符合消費者物聯網設備應使用最佳實踐加密技術進行安全通訊的要求。,PASS
5.5-5,設備功能只有在認證存取之後允許透過網路介面進行配置安全相關修改。例外情況是設備所依賴的網路服務協定，製造商無法保證設備運行所需的配置。,M,,注意：例外的協定包括 ARP、DHCP、DNS、ICMP 和 NTP。範例：與安全性相關的變更包括權限管理、網路金鑰配置和密碼變更。規定例外：設備所依賴的網路服務協定除外，製造商無法保證設備運作需要什麼配置。問題：當規定例外情況不適用時：當設備功能允許透過網路介面對組態進行與安全相關的變更時：A) 如何確保只有在驗證後才能存取設備功能？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,D-Link 網站的通訊和FW檔案更新作業皆以TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 140-3的安全強度模組，並隨時注意最新的安全通報並更新加密模組，符合控制措施5.5-5的要求。,PASS
5.5-7,消費者物聯網設備應保護透過遠端存取網路介面的關鍵安全參數的機密性。,M,,可以使用加密的通訊通道或有效負載加密來實現機密性保護。注意：加密保護通常是使用至少與傳輸的密鑰材料一樣強大的協定或演算法來完成的，但是也可以使用其他緩解措施，例如需要特殊的接近度。問題：透過遠端可存取的網路介面傳送關鍵安全參數時：1. 如何確保消費性物聯網設備保護這些參數的機密性？,D-Link 網站的所有通訊，包含FW檔案的更新作業都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher 符合FIPS 14--3 的安全強度模組進行，並且會隨時注意最先安全通報，檢查是否現行加密模組是否被發現漏洞，需要時即時更新。,D-Link網站的通訊都是在全程TLS V1.2以上的安全加密方式進行，並採用最高等級的Cipher符合FIPS 14--3的安全強度模組進行，符合控制措施5.5-7的要求。,PASS
5.5-8,製造商應遵循與設備相關的關鍵安全參數的安全管理流程。,M,,注意：對關鍵安全參數使用開放的、同儕審查的標準（通常稱為「金鑰管理」）受到強烈鼓勵。問題：當關鍵安全參數與設備相關時：1. 製造商是否遵循安全管理流程？如何管理關鍵安全參數（用於金鑰管理，例如金鑰交換、金鑰儲存和金鑰使用）？,"按照D-Link的秘鑰管理流程生成、存儲和傳輸安全參數。 安全參數隨機生成后，寫入到設備中，同時自動同步到伺服器，操作人員不感知密碼，與設備硬體參數進行哈希後才會用於認證和加解密。當產品EOL之後, 我們會從git server移除相關的key, 並且將他們離線存放",製造商確實遵循安全管理流程，包括使用開放的、同儕審查的金鑰管理標準，並且將關鍵安全參數與設備相關的安全管理流程有效執行。,PASS
5.6-1,應禁用所有未使用的網路和邏輯介面。,M,,範例：預設情況下，無法從 WAN 存取應從 LAN 存取的管理 UI。注意：邏輯介面 (LIF) 是由 IP 位址組成的軟體實體，該 IP 位址與許多屬性（例如角色、主連接埠、防火牆策略、主節點、路由組和連接埠清單）相關聯。用於故障轉移目的。問題：1. 如何確保停用所有未使用的網路和邏輯介面？,"有一個 LAN 的乙太網路、2.4G 和 5G Wi-Fi 接口，需要在設備使用過程中運行，以根據設備的意圖使用提供互聯網訪問。

沒有其他接口沒有被使用過。",根據測試情境描述，驗證者確認只有LAN的乙太網路、2.4G和5G Wi-Fi接口被使用，沒有其他接口被使用，符合5.6-1控制措施要求。,PASS
5.6-2,在初始化狀態下，設備的網路介面應盡量減少未經身份驗證的安全相關訊息洩露。,M,,安全相關資訊可以在建立連接時由設備共享，並可用於識別易受攻擊的設備。範例：在整個 IP 位址空間中尋找易受攻擊的裝置時，安全相關資訊可以是有關裝置配置、核心版本或軟體版本的資訊。問題：當設備處於初始化狀態時：1. 設備的網路介面如何確保最大限度地減少未經身份驗證的安全相關資訊的洩漏？,"在初始化階段，在首次設定驗證之前，僅
1. mDNS僅包含用於APP設定引導和認證所需的資訊。",設備僅包含用於APP設定引導和認證所需的資訊，並沒有洩漏其他安全相關資訊。,PASS
